product_id,units_sold
11653761.0,570.0
12771885.0,37.0
10615613.0,75.0
12783063.0,4.0
13157240.0,3.0
12488210.0,2.0
12691714.0,423.0
10784153.0,7.0
10641856.0,811.0
13454661.0,251.0
11214994.0,721.0
12662077.0,17.0
12364778.0,55.0
12331562.0,113.0
12777561.0,102.0
10530671.0,82.0
10848192.0,329.0
13174408.0,121.0
12918341.0,2.0
13664824.0,23.0
11067707.0,112.0
12526645.0,110.0
13027343.0,3.0
13163867.0,17.0
10529335.0,1387.0
12536544.0,4543.0
13646732.0,153.0
12385321.0,115.0
12713304.0,10.0
12872204.0,202.0
12312915.0,9.0
10530776.0,1080.0
12789069.0,6.0
10848206.0,1289.0
12771880.0,159.0
13442763.0,1371.0
12564830.0,1.0
12273886.0,77.0
13442784.0,96.0
13998120.0,318.0
13827725.0,4.0
13828012.0,29.0
13470236.0,205.0
11213853.0,4892.0
13470240.0,165.0
12457916.0,947.0
12436439.0,729.0
12657949.0,52.0
13054486.0,102.0
11792359.0,107.0
10531009.0,6542.0
13661761.0,399.0
13467597.0,3.0
12749962.0,38.0
13425247.0,7.0
12698472.0,26.0
13526329.0,66.0
12670327.0,300.0
10531003.0,2384.0
12226266.0,362.0
13808125.0,22.0
12788516.0,2.0
10915544.0,257.0
11214983.0,3335.0
11087108.0,412.0
10530986.0,2561.0
12645049.0,19.0
12869898.0,62.0
13904565.0,58.0
14228657.0,38.0
12917286.0,266.0
10867262.0,166.0
13837610.0,243.0
10786586.0,145.0
12761612.0,3.0
14202480.0,17.0
11314032.0,275.0
13523871.0,46.0
12331561.0,82.0
13137259.0,31.0
13121029.0,3.0
12508638.0,14.0
12857192.0,7.0
11691939.0,113.0
10530380.0,1.0
12854137.0,396.0
12519348.0,9.0
13113483.0,4.0
13491915.0,27.0
14237428.0,3438.0
12716296.0,87.0
11247303.0,154.0
11691952.0,170.0
10530478.0,933.0
11807054.0,36.0
13636855.0,4.0
11123647.0,760.0
12716293.0,229.0
12692909.0,2475.0
11200868.0,457.0
12076202.0,75.0
12226264.0,249.0
13442846.0,872.0
12932095.0,18.0
12954968.0,82.0
13054466.0,19.0
11542706.0,339.0
13442766.0,578.0
12457912.0,659.0
13100551.0,2.0
12691909.0,253.0
13830760.0,2838.0
10530999.0,2055.0
12663796.0,542.0
12691716.0,3.0
12081406.0,179.0
12920664.0,52.0
12529026.0,65.0
11766321.0,100.0
12873072.0,18.0
13794970.0,486.0
13905932.0,936.0
12706315.0,5.0
11542707.0,280.0
12551969.0,28.0
13831054.0,5.0
13639317.0,33.0
12484231.0,129.0
11041122.0,914.0
13133474.0,17.0
11372977.0,1089.0
10529662.0,652.0
12309353.0,1863.0
10797927.0,1001.0
13827894.0,22.0
13758285.0,26.0
13964702.0,72.0
12517880.0,183.0
13209916.0,68.0
11157542.0,262.0
12521559.0,682.0
12459867.0,7.0
13118667.0,1.0
11247307.0,283.0
12341731.0,233.0
11033335.0,3.0
11802979.0,251.0
12968641.0,32.0
11447029.0,1.0
13102973.0,2.0
11766320.0,98.0
11802978.0,219.0
11902070.0,779.0
11160098.0,111.0
13116820.0,18.0
13866555.0,7.0
12779329.0,102.0
14006270.0,1.0
10955088.0,5.0
12712267.0,66.0
12519346.0,15.0
11840663.0,1.0
12686208.0,65.0
10529306.0,1155.0
12564809.0,37.0
12309336.0,110.0
13942284.0,1.0
12673753.0,4.0
12376963.0,8.0
11265918.0,63.0
12968616.0,102.0
11123654.0,241.0
13110700.0,1.0
13697005.0,15.0
12754706.0,3.0
12775015.0,9.0
10798886.0,314.0
10830556.0,217.0
13794280.0,4.0
12855662.0,223.0
13166684.0,8.0
12703881.0,76.0
12273891.0,1924.0
12341733.0,95.0
10575263.0,298.0
12657923.0,31.0
13901941.0,5.0
12968614.0,57.0
11331760.0,158.0
13207866.0,27.0
12893421.0,457.0
12955949.0,196.0
13012046.0,3.0
13317069.0,49.0
12771883.0,194.0
13108881.0,30.0
11260807.0,808.0
12062415.0,1.0
13810414.0,2.0
10530479.0,838.0
13751272.0,26.0
13344165.0,84.0
12074891.0,296.0
12712273.0,65.0
11160093.0,47.0
10529591.0,88.0
12459838.0,4.0
12459917.0,8.0
12775550.0,5.0
13120891.0,1.0
12773195.0,4.0
12767572.0,12.0
12857684.0,4.0
12006447.0,223.0
12529024.0,198.0
10546169.0,1.0
11373028.0,176.0
12968605.0,130.0
13758002.0,226.0
13468402.0,41.0
12464766.0,28.0
12783006.0,4.0
11147234.0,8.0
11998275.0,10.0
12773443.0,48.0
12449297.0,151.0
12273885.0,176.0
12298346.0,167.0
12706030.0,169.0
13460577.0,7.0
12449296.0,130.0
12388730.0,60.0
13491839.0,9.0
13840235.0,1.0
12657922.0,131.0
13026613.0,28.0
12949459.0,48.0
12364123.0,73.0
12657920.0,140.0
12081399.0,274.0
10615604.0,99.0
11807025.0,70.0
11338723.0,68.0
12657943.0,275.0
13470231.0,220.0
12507617.0,2.0
